Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,READ,71000,Total,,37,825895157760,10295,20590,0,0,64,39,,
,READ,71000,0,,37,825895157760,,,0,,64,39,nid002825:1611,
,READ,72000,Total,,37,834960621568,8645,17291,0,0,64,33,,
,READ,72000,0,,37,834960621568,,,0,,64,33,nid002825:1611,
,READ,73000,Total,,38,844393611264,8996,17992,0,0,64,22,,
,READ,73000,0,,38,844393611264,,,0,,64,22,nid002825:1611,
,READ,74000,Total,,38,855725572096,10807,21614,0,0,64,27,,
,READ,74000,0,,38,855725572096,,,0,,64,27,nid002825:1611,
,READ,75000,Total,,39,868001251328,11707,23414,0,0,64,36,,
,READ,75000,0,,39,868001251328,,,0,,64,36,nid002825:1611,
,READ,76000,Total,,39,879063728128,10550,21100,0,0,64,35,,
,READ,76000,0,,39,879063728128,,,0,,64,35,nid002825:1611,
,READ,77000,Total,,40,892342370304,12663,25327,0,0,64,40,,
,READ,77000,0,,40,892342370304,,,0,,64,40,nid002825:1611,
,READ,78000,Total,,41,903840530432,10965,21931,0,0,64,39,,
,READ,78000,0,,41,903840530432,,,0,,64,39,nid002825:1611,
,READ,79000,Total,,41,914009620480,9698,19396,0,0,64,37,,
,READ,79000,0,,41,914009620480,,,0,,64,37,nid002825:1611,
,READ,80000,Total,,42,925354688512,10819,21639,0,0,64,37,,
,READ,80000,0,,42,925354688512,,,0,,64,37,nid002825:1611,
,READ,81000,Total,,42,935715667968,9881,19762,0,0,64,29,,
,READ,81000,0,,42,935715667968,,,0,,64,29,nid002825:1611,
,READ,82000,Total,,43,947546226688,11282,22565,0,0,64,27,,
,READ,82000,0,,43,947546226688,,,0,,64,27,nid002825:1611,
,READ,83000,Total,,43,960295862272,12159,24318,0,0,64,31,,
,READ,83000,0,,43,960295862272,,,0,,64,31,nid002825:1611,
,READ,84000,Total,,44,973318651904,12419,24839,0,0,64,39,,
,READ,84000,0,,44,973318651904,,,0,,64,39,nid002825:1611,
,READ,85000,Total,,44,983754080256,9952,19904,0,0,64,37,,
,READ,85000,0,,44,983754080256,,,0,,64,37,nid002825:1611,
,READ,86000,Total,,45,996301340672,11966,23932,0,0,64,40,,
,READ,86000,0,,45,996301340672,,,0,,64,40,nid002825:1611,
,READ,87000,Total,,45,1007836725248,11001,22002,0,0,64,39,,
,READ,87000,0,,45,1007836725248,,,0,,64,39,nid002825:1611,
,READ,88000,Total,,46,1019286650880,10919,21839,0,0,64,40,,
,READ,88000,0,,46,1019286650880,,,0,,64,40,nid002825:1611,
,READ,89000,Total,,46,1029468848128,9710,19421,0,0,64,37,,
,READ,89000,0,,46,1029468848128,,,0,,64,37,nid002825:1611,
,READ,90000,Total,,47,1040829120512,10834,21668,0,0,64,42,,
,READ,90000,0,,47,1040829120512,,,0,,64,42,nid002825:1611,
,READ,91000,Total,,47,1051355250688,10038,20077,0,0,64,35,,
,READ,91000,0,,47,1051355250688,,,0,,64,35,nid002825:1611,
,READ,92000,Total,,48,1059693527040,7952,15904,0,0,64,22,,
,READ,92000,0,,48,1059693527040,,,0,,64,22,nid002825:1611,
,READ,93000,Total,,48,1071121432576,10898,21797,0,0,64,28,,
,READ,93000,0,,48,1071121432576,,,0,,64,28,nid002825:1611,
,READ,94000,Total,,49,1083339440128,11652,23304,0,0,64,34,,
,READ,94000,0,,49,1083339440128,,,0,,64,34,nid002825:1611,
,READ,95000,Total,,49,1095934410752,12011,24023,0,0,64,38,,
,READ,95000,0,,49,1095934410752,,,0,,64,38,nid002825:1611,
,READ,96000,Total,,50,1106125520896,9719,19438,0,0,64,36,,
,READ,96000,0,,50,1106125520896,,,0,,64,36,nid002825:1611,
,READ,97000,Total,,50,1117184327680,10546,21093,0,0,64,37,,
,READ,97000,0,,50,1117184327680,,,0,,64,37,nid002825:1611,
,READ,98000,Total,,51,1126042173440,8447,16895,0,0,64,29,,
,READ,98000,0,,51,1126042173440,,,0,,64,29,nid002825:1611,
,READ,99000,Total,,51,1137953472512,11359,22719,0,0,64,32,,
,READ,99000,0,,51,1137953472512,,,0,,64,32,nid002825:1611,
,READ,100000,Total,,52,1150152081408,11633,23267,0,0,64,35,,
,READ,100000,0,,52,1150152081408,,,0,,64,35,nid002825:1611,
,READ,101000,Total,,52,1161000124416,10345,20691,0,0,64,36,,
,READ,101000,0,,52,1161000124416,,,0,,64,36,nid002825:1611,
,READ,102000,Total,,53,1172078854144,10565,21131,0,0,64,38,,
,READ,102000,0,,53,1172078854144,,,0,,64,38,nid002825:1611,
,READ,103000,Total,,53,1181023207424,8530,17060,0,0,64,24,,
,READ,103000,0,,53,1181023207424,,,0,,64,24,nid002825:1611,
,READ,104000,Total,,54,1193122201600,11538,23077,0,0,64,29,,
,READ,104000,0,,54,1193122201600,,,0,,64,29,nid002825:1611,
,READ,105000,Total,,54,1204139065344,10506,21013,0,0,64,29,,
,READ,105000,0,,54,1204139065344,,,0,,64,29,nid002825:1611,
,READ,106000,Total,,55,1217339064320,12588,25177,0,0,64,36,,
,READ,106000,0,,55,1217339064320,,,0,,64,36,nid002825:1611,
,READ,107000,Total,,55,1228807340032,10937,21874,0,0,64,37,,
,READ,107000,0,,55,1228807340032,,,0,,64,37,nid002825:1611,
,READ,108000,Total,,56,1240065900544,10737,21474,1,1,63,38,,
,READ,108000,0,,56,1240065900544,,,1,,63,38,nid002825:1611,
,READ,109000,Total,,56,1251579265024,10980,21960,1,0,63,34,,
,READ,109000,0,,56,1251579265024,,,1,,63,34,nid002825:1611,
,READ,110000,Total,,57,1262935343104,10830,21660,1,0,63,35,,
,READ,110000,0,,57,1262935343104,,,1,,63,35,nid002825:1611,
,READ,111000,Total,,57,1274481737728,11011,22023,1,0,63,34,,
,READ,111000,0,,57,1274481737728,,,1,,63,34,nid002825:1611,
,READ,112000,Total,,58,1286523584512,11484,22968,1,0,63,37,,
,READ,112000,0,,58,1286523584512,,,1,,63,37,nid002825:1611,
,READ,113000,Total,,58,1296469327872,9485,18970,1,0,63,32,,
,READ,113000,0,,58,1296469327872,,,1,,63,32,nid002825:1611,
,READ,114000,Total,,59,1306497908736,9564,19128,1,0,63,33,,
,READ,114000,0,,59,1306497908736,,,1,,63,33,nid002825:1611,
,READ,115000,Total,,59,1317946261504,10918,21836,1,0,63,29,,
,READ,115000,0,,59,1317946261504,,,1,,63,29,nid002825:1611,
,READ,116000,Total,,60,1327792914432,9390,18781,1,0,63,21,,
,READ,116000,0,,60,1327792914432,,,1,,63,21,nid002825:1611,
,READ,117000,Total,,60,1339310473216,10984,21968,1,0,63,27,,
,READ,117000,0,,60,1339310473216,,,1,,63,27,nid002825:1611,
,READ,118000,Total,,61,1347436412928,7749,15499,3,2,61,29,,
,READ,118000,0,,61,1347436412928,,,3,,61,29,nid002825:1611,
,READ,119000,Total,,61,1363302940672,15131,30263,6,3,58,29,,
,READ,119000,0,,61,1363302940672,,,6,,58,29,nid002825:1611,
,READ,120000,Total,,62,1374566219776,10741,21483,6,0,58,31,,
,READ,120000,0,,62,1374566219776,,,6,,58,31,nid002825:1611,
,READ,121000,Total,,63,1385948512256,10855,21710,6,0,58,27,,
,READ,121000,0,,63,1385948512256,,,6,,58,27,nid002825:1611,
,READ,122000,Total,,63,1396434272256,10000,20000,6,0,58,25,,
,READ,122000,0,,63,1396434272256,,,6,,58,25,nid002825:1611,
,READ,123000,Total,,64,1407457427456,10512,21025,7,1,57,25,,
,READ,123000,0,,64,1407457427456,,,7,,57,25,nid002825:1611,
,READ,124000,Total,,64,1418640490496,10665,21330,7,0,57,25,,
,READ,124000,0,,64,1418640490496,,,7,,57,25,nid002825:1611,
,READ,125000,Total,,65,1429501116416,10357,20715,7,0,57,28,,
,READ,125000,0,,65,1429501116416,,,7,,57,28,nid002825:1611,
,READ,126000,Total,,65,1439451578368,9489,18979,7,0,57,25,,
,READ,126000,0,,65,1439451578368,,,7,,57,25,nid002825:1611,
,READ,127000,Total,,66,1452036587520,12002,24004,7,0,57,29,,
,READ,127000,0,,66,1452036587520,,,7,,57,29,nid002825:1611,
,READ,128000,Total,,66,1462501900288,9980,19961,7,0,57,29,,
,READ,128000,0,,66,1462501900288,,,7,,57,29,nid002825:1611,
,READ,129000,Total,,66,1470903615488,8012,16025,7,0,57,26,,
,READ,129000,0,,66,1470903615488,,,7,,57,26,nid002825:1611,
,READ,130000,Total,,67,1482856333312,11399,22798,7,0,57,31,,
,READ,130000,0,,67,1482856333312,,,7,,57,31,nid002825:1611,
,READ,131000,Total,,67,1492996587520,9670,19341,8,1,56,25,,
,READ,131000,0,,67,1492996587520,,,8,,56,25,nid002825:1611,
,READ,132000,Total,,68,1503526387712,10042,20084,8,0,56,22,,
,READ,132000,0,,68,1503526387712,,,8,,56,22,nid002825:1611,
,READ,133000,Total,,68,1512726593536,8774,17548,8,0,56,20,,
,READ,133000,0,,68,1512726593536,,,8,,56,20,nid002825:1611,
,READ,134000,Total,,69,1524069040128,10817,21634,9,1,55,23,,
,READ,134000,0,,69,1524069040128,,,9,,55,23,nid002825:1611,
,READ,135000,Total,,69,1535264686080,10677,21354,9,0,55,27,,
,READ,135000,0,,69,1535264686080,,,9,,55,27,nid002825:1611,
,READ,136000,Total,,70,1543382761472,7742,15484,9,0,55,23,,
,READ,136000,0,,70,1543382761472,,,9,,55,23,nid002825:1611,
,READ,137000,Total,,70,1554734120960,10825,21651,9,0,55,25,,
,READ,137000,0,,70,1554734120960,,,9,,55,25,nid002825:1611,
,READ,138000,Total,,71,1564499509248,9313,18626,9,0,55,27,,
,READ,138000,0,,71,1564499509248,,,9,,55,27,nid002825:1611,
,READ,139000,Total,,71,1573570740224,8651,17302,9,0,55,21,,
,READ,139000,0,,71,1573570740224,,,9,,55,21,nid002825:1611,
,READ,140000,Total,,72,1585015422976,10914,21829,9,0,55,26,,
,READ,140000,0,,72,1585015422976,,,9,,55,26,nid002825:1611,
,READ,141000,Total,,72,1596487368704,10940,21881,9,0,55,28,,
,READ,141000,0,,72,1596487368704,,,9,,55,28,nid002825:1611,
,READ,142000,Total,,73,1608400240640,11361,22722,9,0,55,34,,
,READ,142000,0,,73,1608400240640,,,9,,55,34,nid002825:1611,
,READ,143000,Total,,73,1620055162880,11115,22230,9,0,55,36,,
,READ,143000,0,,73,1620055162880,,,9,,55,36,nid002825:1611,
,READ,144000,Total,,74,1630466998272,9929,19859,9,0,55,31,,
,READ,144000,0,,74,1630466998272,,,9,,55,31,nid002825:1611,
,READ,145000,Total,,74,1641215426560,10250,20501,9,0,55,29,,
,READ,145000,0,,74,1641215426560,,,9,,55,29,nid002825:1611,
,READ,146000,Total,,75,1652663255040,10917,21835,9,0,55,31,,
,READ,146000,0,,75,1652663255040,,,9,,55,31,nid002825:1611,
,READ,147000,Total,,75,1665177485312,11934,23869,9,0,55,32,,
,READ,147000,0,,75,1665177485312,,,9,,55,32,nid002825:1611,
,READ,148000,Total,,76,1675038294016,9404,18808,9,0,55,33,,
,READ,148000,0,,76,1675038294016,,,9,,55,33,nid002825:1611,
,READ,149000,Total,,76,1685643591680,10114,20228,9,0,55,30,,
,READ,149000,0,,76,1685643591680,,,9,,55,30,nid002825:1611,
,READ,150000,Total,,77,1698216542208,11990,23981,9,0,55,33,,
,READ,150000,0,,77,1698216542208,,,9,,55,33,nid002825:1611,
,READ,151000,Total,,77,1709496598528,10757,21515,9,0,55,26,,
,READ,151000,0,,77,1709496598528,,,9,,55,26,nid002825:1611,
,READ,152000,Total,,78,1720737333248,10720,21440,9,0,55,26,,
,READ,152000,0,,78,1720737333248,,,9,,55,26,nid002825:1611,
,READ,153000,Total,,78,1731274997760,10049,20099,9,0,55,23,,
,READ,153000,0,,78,1731274997760,,,9,,55,23,nid002825:1611,
,READ,154000,Total,,79,1742662008832,10859,21719,9,0,55,28,,
,READ,154000,0,,79,1742662008832,,,9,,55,28,nid002825:1611,
,READ,155000,Total,,79,1754007076864,10819,21639,9,0,55,31,,
,READ,155000,0,,79,1754007076864,,,9,,55,31,nid002825:1611,
,READ,156000,Total,,80,1766656049152,12063,24126,9,0,55,33,,
,READ,156000,0,,80,1766656049152,,,9,,55,33,nid002825:1611,
,READ,157000,Total,,80,1777115070464,9974,19949,10,1,54,29,,
,READ,157000,0,,80,1777115070464,,,10,,54,29,nid002825:1611,
,READ,158000,Total,,81,1788104146944,10480,20960,10,0,54,31,,
,READ,158000,0,,81,1788104146944,,,10,,54,31,nid002825:1611,
,READ,159000,Total,,81,1797979635712,9418,18836,10,0,54,27,,
,READ,159000,0,,81,1797979635712,,,10,,54,27,nid002825:1611,
,READ,160000,Total,,82,1807763898368,9331,18662,10,0,54,25,,
,READ,160000,0,,82,1807763898368,,,10,,54,25,nid002825:1611,
,READ,161000,Total,,82,1820551282688,12195,24390,10,0,54,36,,
,READ,161000,0,,82,1820551282688,,,10,,54,36,nid002825:1611,
,READ,162000,Total,,83,1830703595520,9682,19364,11,1,53,31,,
,READ,162000,0,,83,1830703595520,,,11,,53,31,nid002825:1611,
,READ,163000,Total,,83,1842174492672,10939,21879,11,0,53,29,,
,READ,163000,0,,83,1842174492672,,,11,,53,29,nid002825:1611,
,READ,164000,Total,,84,1853314039808,10623,21247,11,0,53,25,,
,READ,164000,0,,84,1853314039808,,,11,,53,25,nid002825:1611,
,READ,165000,Total,,84,1863619444736,9828,19656,11,0,53,26,,
,READ,165000,0,,84,1863619444736,,,11,,53,26,nid002825:1611,
,READ,166000,Total,,85,1875398623232,11233,22467,11,0,53,31,,
,READ,166000,0,,85,1875398623232,,,11,,53,31,nid002825:1611,
,READ,167000,Total,,85,1886156488704,10259,20519,12,1,52,32,,
,READ,167000,0,,85,1886156488704,,,12,,52,32,nid002825:1611,
,READ,168000,Total,,86,1896469233664,9835,19670,12,0,52,25,,
,READ,168000,0,,86,1896469233664,,,12,,52,25,nid002825:1611,
,READ,169000,Total,,86,1909059485696,12007,24014,13,1,51,29,,
,READ,169000,0,,86,1909059485696,,,13,,51,29,nid002825:1611,
,READ,170000,Total,,87,1918107648000,8629,17258,14,1,50,21,,
,READ,170000,0,,87,1918107648000,,,14,,50,21,nid002825:1611,
,READ,171000,Total,,87,1929443278848,10810,21621,14,0,50,32,,
,READ,171000,0,,87,1929443278848,,,14,,50,32,nid002825:1611,
,READ,172000,Total,,88,1938537054208,8672,17345,15,1,49,18,,
,READ,172000,0,,88,1938537054208,,,15,,49,18,nid002825:1611,
,READ,173000,Total,,88,1949909909504,10846,21692,16,1,48,28,,
,READ,173000,0,,88,1949909909504,,,16,,48,28,nid002825:1611,
,READ,174000,Total,,89,1961246064640,10811,21622,21,5,43,33,,
,READ,174000,0,,89,1961246064640,,,21,,43,33,nid002825:1611,
,READ,175000,Total,,89,1971305054208,9593,19186,24,3,40,34,,
,READ,175000,0,,89,1971305054208,,,24,,40,34,nid002825:1611,
,READ,176000,Total,,90,1981596303360,9814,19629,28,4,36,21,,
,READ,176000,0,,90,1981596303360,,,28,,36,21,nid002825:1611,
,READ,177000,Total,,90,1990889308160,8862,17725,30,2,34,26,,
,READ,177000,0,,90,1990889308160,,,30,,34,26,nid002825:1611,
,READ,178000,Total,,91,2001925046272,10524,21049,33,3,31,25,,
,READ,178000,0,,91,2001925046272,,,33,,31,25,nid002825:1611,
,READ,179000,Total,,91,2011333918720,8973,17946,36,3,28,20,,
,READ,179000,0,,91,2011333918720,,,36,,28,20,nid002825:1611,
,READ,180000,Total,,91,2017503215616,5883,11767,39,3,25,15,,
,READ,180000,0,,91,2017503215616,,,39,,25,15,nid002825:1611,
,READ,181000,Total,,91,2020896931840,3236,6473,40,1,24,12,,
,READ,181000,0,,91,2020896931840,,,40,,24,12,nid002825:1611,
,READ,182000,Total,,92,2026774200320,5605,11210,40,0,24,19,,
,READ,182000,0,,92,2026774200320,,,40,,24,19,nid002825:1611,
,READ,183000,Total,,92,2034387910656,7261,14522,40,0,24,12,,
,READ,183000,0,,92,2034387910656,,,40,,24,12,nid002825:1611,
,READ,184000,Total,,92,2041716408320,6989,13978,40,0,24,10,,
,READ,184000,0,,92,2041716408320,,,40,,24,10,nid002825:1611,
,READ,185000,Total,,93,2049675100160,7590,15180,42,2,22,8,,
,READ,185000,0,,93,2049675100160,,,42,,22,8,nid002825:1611,
,READ,186000,Total,,93,2055914127360,5950,11900,43,1,21,8,,
,READ,186000,0,,93,2055914127360,,,43,,21,8,nid002825:1611,
,READ,187000,Total,,93,2061821804544,5634,11268,44,1,20,4,,
,READ,187000,0,,93,2061821804544,,,44,,20,4,nid002825:1611,
,READ,188000,Total,,94,2068552613888,6419,12838,46,2,18,1,,
,READ,188000,0,,94,2068552613888,,,46,,18,1,nid002825:1611,
